正規分布,正規+カイ二乗,二峰性混合,外れ値混入
51.523585398772155,60.22934471912954,56.44895732513692,53.16434161778644
44.80007946879752,57.141152522194965,40.543313990306785,46.0829947305169
53.752255979032284,52.13368099592906,47.02543397968469,65.29765614498412
54.70282358195607,52.06009285560599,53.11195532183816,44.5696320869376
40.24482405673082,46.679956740568684,47.82778086269938,43.71308762509315
43.48910246568841,49.4063253769577,60.98661798448805,52.550693578067204
50.639202015836425,62.98222286240308,58.1678180503972,57.646567394836474
48.41878703828209,53.68598829049507,48.87505939697602,50.322948284716105
49.91599421247856,52.96651152827823,48.06722167608142,52.86121210093637
45.7347803621321,55.66594294199481,61.96751299456937,40.78226291270645
54.396989874314144,50.19139249374499,43.90686812132027,75.9266155889217
53.88895967714474,55.571849036516674,48.49701626965146,44.63192135431216
50.33015348780608,50.81538395889201,58.63514135251179,40.52477075026059
55.636206034840164,54.63767542432032,62.7140074482471,50.58490117011944
52.33754671126023,64.31756032463133,61.608102419608436,38.78586189194783
45.70353768558381,54.68027038151522,49.71197348297877,43.389020169562755
51.843753920412496,55.89472203179294,45.59573586204455,47.31403102993291
45.20558699585501,57.12080134533231,60.50357664210717,45.843570820244615
54.39225150653636,62.40577065580819,44.0850803438607,64.98376104327488
49.75037044506873,58.654569054224865,55.33760852577352,53.13996501444197
49.075688182273694,54.34227241074785,59.665720222838274,54.46899372967729
46.5953522779803,49.03975976491314,58.30741710130947,53.76191866356339
56.11270669337015,58.536483068110655,47.73371413370684,38.621755477271776
49.227352589655986,51.371613485509435,47.36809966700912,49.990407999954726
47.85836088918446,57.18314986794909,60.99902205961597,51.51733450408335
48.23933224755885,53.66665716720209,41.992872762701346,52.55756850959596
52.661545927766745,57.157989063368255,56.6959015788306,50.70828348695513
51.82722032182039,56.12902274940001,57.88825224234362,48.01402845041463
52.063663057979944,56.505423683680725,57.65703349598576,48.33778732830115
52.15410501503941,60.68695893569745,47.98966465349521,45.91220800835017
60.7082380043523,51.98519283045389,59.62339251465412,52.10808414954915
47.967924918076925,49.1320706954525,54.06049684540019,49.52992412957422
47.43878635464231,50.09713763588206,61.31482146687318,46.68413124681618
45.93113635876061,64.75442040738562,48.77734454800421,46.688775903377035
53.079897112877475,48.01253579319027,54.2217607998816,43.94800636108606
55.64486146360446,56.71337456609666,57.43424160098197,54.894206706186
49.430262711725625,50.07722533982028,57.61079139043449,50.39308834765894
45.79921761518736,66.6370687185817,42.447541132851924,45.68599990213365
45.877593921543806,43.47783552306366,45.2837775988731,54.042738748010095
53.252963939123504,52.85844793393301,62.72703277651198,47.197755951028135
53.71627085601721,50.12366394545738,64.70315873859305,42.96749686493884
52.71577134152597,52.13494595258858,58.048388245828015,55.10611144609567
46.67245146355653,52.295308231875936,57.17888801254669,47.31451505216943
51.1608066153336,57.263820637608944,60.725179891801915,47.95550454895605
50.58342904570364,52.014940177641535,63.46616566402853,50.20590010174589
51.09344298364506,58.11717098415363,42.630040938397194,55.71294611395057
54.35714388974095,55.55823286108084,43.111966546996484,50.100186454331556
51.11797774387341,53.136262539393314,57.86501437707098,44.004414369273846
53.39456781535947,64.3448290105452,41.63112885267861,52.7193850205609
